Keypoint,Variance
124,2251.82
225,2540.12
1601,2580.88
719,2751.94
2257,3227.6
1438,3650.83
1650,4023.84
1574,4317.8
451,4899.07
2235,5132.89
1193,5279.36
2022,5475.27
2182,5539.7
1239,5874.47
604,6029.32
571,6480.18
1878,9953.35
273,10395
1973,11302.8
1607,12229.9
708,13470.2
375,13512.6
1922,13558.6
554,14307
706,15321.4
2100,15802.5
193,15914.9
449,16124.5
621,16356
2190,16773.8
628,19095.9
1327,22366.7
1068,23200.3
487,25171.1
607,25570
54,26131.2
60,26424.8
2058,27950.4
70,28483.1
799,28858.2
1919,30029.6
1885,30150
200,31574.4
1593,31913.8
946,33169.1
2191,35220.6
365,36101.5
180,36562
138,37562.3
808,39672.1
302,40347.8
2230,40363.4
1505,41221.8
878,43476.6
154,45778.9
1099,46386.2
759,51105.5
746,51686.1
1260,52258
78,53383.4
1821,54396.8
238,55767.9
1403,62775.4
2014,66042.9
336,68873
2287,68924.7
586,74284.9
1111,78834.4
1746,79333.1
6,83656.1
349,84921.1
1579,85918.1
493,86473.9
359,86933.4
2089,91474
1431,91538.4
350,92030.3
1603,92917.8
952,94831.2
195,98297.2
648,102864
1445,104237
2010,104746
112,118712
1350,124893
229,138333
421,147147
1418,149199
935,159826
158,163299
2284,164811
1870,167987
1587,172087
480,192296
1634,197032
1918,203200
95,238182
2188,246865
2246,250999
423,255200
2219,276008
505,283895
529,290951
2277,317250
33,365656
39,374928
2215,387267
2229,431770
125,446340
12,485979
717,529467
