KeypointIndex,FrameIndex,X,Y,Variance
677,0,1187.11,699.199,0.0226614
677,1,1187.02,698.912,0.0226614
685,0,670.253,610.567,0.26348
685,1,670.285,610.783,0.26348
685,2,670.527,611.888,0.26348
685,3,670.426,611.052,0.26348
687,0,669.913,671.332,0.091678
687,1,670.181,670.9,0.091678
687,2,670.084,670.729,0.091678
687,3,670.164,670.573,0.091678
688,0,671.808,403.024,0.0791196
688,1,671.233,403.113,0.0791196
688,2,671.203,403.092,0.0791196
700,0,678.988,642.997,0.0213023
700,1,679.004,643.237,0.0213023
700,2,679.168,643.27,0.0213023
700,3,679.221,643.176,0.0213023
704,0,682.046,413.605,0.19214
704,1,681.72,413.559,0.19214
704,2,682.725,414.063,0.19214
704,3,682.471,413.895,0.19214
706,0,680.029,504.484,15321.4
706,1,679.14,505.527,15321.4
706,2,939.677,468.992,15321.4
707,0,602.214,937.068,0.246384
707,1,601.445,937.696,0.246384
708,0,709.464,780.607,13470.2
708,1,478.763,806.253,13470.2
709,0,685.988,331.352,0.0397336
709,1,686.195,331.011,0.0397336
713,0,687.661,426.71,0.0743035
713,1,688.187,426.77,0.0743035
713,2,688.273,426.78,0.0743035
714,0,688.17,319.009,0.0186945
714,1,688.044,319.252,0.0186945
715,0,687.726,394.287,0.0161824
715,1,687.558,394.318,0.0161824
715,2,687.481,394.133,0.0161824
715,3,687.474,394.177,0.0161824
717,0,407.961,1052.3,529467
717,1,1759.01,177.095,529467
717,2,1569.11,163.826,529467
719,0,631.464,836.812,2751.94
719,1,717.126,776.234,2751.94
722,0,691.41,417.284,0.00412496
722,1,691.42,417.425,0.00412496
722,2,691.449,417.375,0.00412496
722,3,691.434,417.277,0.00412496
727,0,693.336,328.22,0.192033
727,1,692.999,329.234,0.192033
727,2,692.983,329.165,0.192033
727,3,692.972,329.084,0.192033
744,0,699.918,911.183,0.0147081
744,1,700.033,911.314,0.0147081
744,2,699.888,911.438,0.0147081
745,0,609.014,591.923,0.0353401
745,1,609.092,592.008,0.0353401
745,2,609.361,592.199,0.0353401
746,0,734.418,766.793,51686.1
746,1,1141.75,968.849,51686.1
748,0,702.704,366.678,0.255045
748,1,702.36,367.955,0.255045
748,2,702.411,367.731,0.255045
